country,date,tested,confirmed,confirmed.tested.ratio,tested.population.ratio,confirmed.population.ratio
Saint Vincent,2021-04-17,44243,1819,4.1,40.1,1.7
San Marino,2021-04-19,58362,5030,8.6,170.0,14.7
Saudi Arabia,2021-04-19,16231540,405940,2.5,46.6,1.2
Senegal,2021-04-12,488554,39465,8.1,3.1,0.25
Serbia,2021-04-19,3695993,664972,18.0,53.1,9.5
Singapore,2021-04-19,9278789,60865,0.66,163.0,1.1
Slovakia,2021-04-19,2505182,376067,15.0,45.9,6.9
Slovenia,2021-04-19,1135447,233033,20.5,54.2,11.1
South Africa,2021-04-19,10355196,1567513,15.1,17.5,2.6
South Korea,2021-03-01,6592010,90029,1.4,12.7,0.17
South Sudan,2021-03-04,113686,8527,7.5,0.89,0.067
Spain,2021-04-15,45240524,3396685,7.5,96.8,7.3
Sri Lanka,2021-03-30,2384745,93128,3.9,10.9,0.43
Sudan,2021-01-07,158804,23316,14.7,0.36,0.053
Sweden,2021-04-12,8132385,872712,10.7,78.7,8.5
Switzerland[l],2021-04-20,6633770,639445,9.6,77.1,7.4
Taiwan[m],2021-04-19,513203,1076,0.21,2.2,0.0046
Tanzania,2020-11-18,3880,509,13.1,0.0065,0.00085
Thailand,2021-03-04,1579597,26162,1.7,2.3,0.038
Togo,2021-04-17,299315,12496,4.2,3.5,0.15
Trinidad and Tobago,2021-04-17,119953,8806,7.3,8.8,0.65
Tunisia,2021-04-15,1215518,281777,23.2,10.3,2.4
Turkey,2021-04-19,44087628,4323596,9.8,53.0,5.2
Uganda,2021-02-11,852444,39979,4.7,1.9,0.087
Ukraine,2021-04-20,8996039,1961956,21.8,21.4,4.7
United Arab Emirates,2021-04-20,42101280,500860,1.2,439.0,5.2
United Kingdom,2021-04-19,143958619,4390783,3.1,213.0,6.5
United States,2021-04-19,417360348,31731497,7.6,126.0,9.6
Uruguay,2021-04-20,1641855,167033,10.2,47.3,4.8
Uzbekistan,2020-07-14,1400000,13872,0.99,4.1,0.041
Venezuela,2021-03-30,3179074,159149,5.0,11.0,0.55
Vietnam,2021-04-11,2847776,2693,0.095,2.9,0.0027
Zambia,2021-04-17,1341506,90844,6.8,7.7,0.52
Zimbabwe,2021-04-17,471782,37699,8.0,3.2,0.25
